name;email;gender
Apple;apple@gmail.com;F
Amber;amber0285@gmail.com;F
Barbara;barbarasky@gmail.com;F
Beidou;beidoudou@gmail.com;F
Bennett;bennettPyro@gmail.com;M
Chongyun; chyun@gmail.com;M
Diluc; dilucnottheknight@gmail.com;M
Fischl; fischl9812@gmail.com;F
Jean; jean11@gmail.com;F
Kaeya; whatsthehurry@gmail.com;M
Keqing; keqing1120@gmail.com;F
Klee; klee_blasting@gmail.com;F
Lisa; lisa_librarian@gmail.com;F
Mona; mona92@gmail.com;F
Ningguang; ningguangXta@gmail.com;F
Noelle; noelle0321@gmail.com;F
Qiqi; qiqi77@gmail.com;F
Razor; wolf_master92@gmail.com;M
Sucrose; sucrose_air@gmail.com;F
Venti; wind_god@gmail.com;M
Xiangling; xianglingchef@gmail.com;F
Xingqiu; xingqiu9309@gmail.com;M
Chen Jen; ChenJen@gmail.com;M
Lee Wang; LeeWang@gmail.com;M
Shiki Okada; shiki_okada@gmail.com;M
Akiko Sanu; AkikoSanu@gmail.com;F
Eiki Noda; nobu_hotaru@gmail.com;M
Hirona Ootani; hirona_official@gmail.com;F
Ben Langdon; benlangdon@gmail.com;F
Noah Swadling; noah_swad@gmail.com;M
Ava Beatham; AvaBeatham@gmail.com;F
Callum Blakey; callum9211@gmail.com;M
Angelina; lindsayAngel@gmail.com;F
Lucy Lloyd; lloydlucy@gmail.com;F
Tia Armstrong; tia_strong@gmail.com;F
Liang Chu; liangchubest@gmail.com;M
Yan Yan; yanyan@gmail.com;F
Aisha; aisha99@gmail.com;F
Ahmad Bam; ahmadTheBam@gmail.com;M
Mikail; mikail@gmail.com;M
